mbedtls,c++,fuzz_pubkey usepsa-fuzz_client usepsa-fuzz_privkey fuzz_x509crl usepsa-fuzz_x509crt fuzz_dtlsclient usepsa-fuzz_pubkey fuzz_privkey fuzz_x509csr fuzz_x509crt usepsa-fuzz_server usepsa-fuzz_pkcs7 usepsa-fuzz_x509crl fuzz_pkcs7 fuzz_dtlsserver fuzz_server usepsa-fuzz_x509csr usepsa-fuzz_dtlsserver fuzz_client usepsa-fuzz_dtlsclient
mdbtools,c,fuzz_mdb
mercurial,c++,dirs_fuzzer jsonescapeu8fast_fuzzer manifest_fuzzer fm1readmarkers_fuzzer mpatch_fuzzer xdiff_fuzzer dirstate_fuzzer revlog_fuzzer fncache_fuzzer bdiff_fuzzer
miniz,c,small_fuzzer uncompress2_fuzzer compress_fuzzer flush_fuzzer checksum_fuzzer large_fuzzer uncompress_fuzzer zip_fuzzer
minizip,c++,unzip_fuzzer zip_fuzzer
monero,c++,bulletproof_fuzz_tests cold-transaction_fuzz_tests http-client_fuzz_tests transaction_fuzz_tests load-from-json_fuzz_tests block_fuzz_tests tx-extra_fuzz_tests base58_fuzz_tests load-from-binary_fuzz_tests levin_fuzz_tests parse-url_fuzz_tests cold-outputs_fuzz_tests signature_fuzz_tests
mosh,c++,terminal_parser_fuzzer terminal_fuzzer
mruby,c++,mruby_fuzzer mruby_proto_fuzzer
msgpack-c,c++,unpack_pack_fuzzer
ms-tpm-20-ref,c,tpm_cmd
mupdf,c++,pdf_fuzzer
ndpi,c++,fuzz_alg_ses_des fuzz_ds_bitmap64_fuse fuzz_ds_cmsketch fuzz_ds_tree fuzz_alg_hw_rsi_outliers_da fuzz_is_stun_tcp fuzz_filecfg_malicious_sha1 fuzz_alg_crc32_md5 fuzz_process_packet fuzz_filecfg_config fuzz_alg_bytestream fuzz_ds_domain_classify fuzz_alg_memmem fuzz_community_id fuzz_alg_shoco fuzz_gcrypt_cipher fuzz_ndpi_reader_pl7m fuzz_filecfg_category fuzz_ds_patricia fuzz_ndpi_reader_pl7m_internal fuzz_ds_libcache fuzz_alg_bins fuzz_filecfg_malicious_ja3 fuzz_gcrypt_light fuzz_alg_strnstr fuzz_alg_hll fuzz_binaryfusefilter fuzz_filecfg_categories fuzz_ds_ptree fuzz_ndpi_reader_alloc_fail fuzz_config fuzz_readerutils_parseprotolist fuzz_filecfg_protocols fuzz_gcrypt_gcm fuzz_dga fuzz_is_stun_udp fuzz_ndpi_reader_pl7m_simplest_internal fuzz_quic_get_crypto_data fuzz_filecfg_risk_domains fuzz_ds_hash fuzz_gcrypt_aes fuzz_ds_ahocorasick fuzz_ndpi_reader_payload_analyzer fuzz_tls_certificate fuzz_readerutils_workflow fuzz_ndpi_reader fuzz_alg_jitter fuzz_libinjection fuzz_serialization fuzz_ndpi_reader_pl7m_64k fuzz_ndpi_reader_pl7m_simplest
neomutt,c++,address-fuzz
nestegg,c++,fuzz
